episode,has_audio,raw_audio_occurrences,unique_audio_url_count,canonical_audio_occurrences,mirror_audio_occurrences,episode_page_occurrences,canonical_post_count,titles
210,yes,10,3,10,0,34,1,Episode 210: “Money on the Table” | Episode 210: “Money on the Table” - The Official BNI Podcast
211,yes,10,2,10,0,39,1,Episode 211: Fear of Rejection | Episode 211: Fear of Rejection - The Official BNI Podcast
212,yes,10,3,10,0,35,1,Episode 212: The 8-Step Referral Process | Episode 212: The 8-Step Referral Process - The Official BNI Podcast
213,yes,10,3,10,0,40,1,Episode 213: “Networking with Social Media” | Episode 213: “Networking with Social Media” - The Official BNI Podcast
214,yes,10,3,10,0,33,1,Episode 214: Why Leadership Team Training? | Episode 214: Why Leadership Team Training? - The Official BNI Podcast
215,yes,10,2,10,0,38,1,Episode 215: MLMs in BNI | Episode 215: MLMs in BNI - The Official BNI Podcast
216,yes,10,3,10,0,33,1,Episode 216: Building a Cohesive Team | Episode 216: Building a Cohesive Team - The Official BNI Podcast
217,yes,10,3,10,0,38,1,"Episode 217: Can't Do, or Won't Do? - The Official BNI Podcast | Episode 217: Can’t Do, or Won’t Do?"
218,yes,10,3,10,0,41,1,Episode 218: What Is a Quality Member? | Episode 218: What Is a Quality Member? - The Official BNI Podcast
219,yes,10,3,10,0,31,1,Episode 219: 5 Questions to Leave a Lasting Impression (Classic Podcast)
220,yes,10,2,10,0,34,1,Episode 220: Culture of Recruiting | Episode 220: Culture of Recruiting - The Official BNI Podcast
221,yes,10,3,10,0,51,1,Episode 221: Your Business 101 | Episode 221: Your Business 101 - The Official BNI Podcast
222,yes,10,3,10,0,45,1,Episode 222: Why Do People Leave? | Episode 222: Why Do People Leave? - The Official BNI Podcast
223,yes,10,3,10,0,35,1,Episode 223: The Hard Path Is Easier (Classic Podcast) | Episode 223: The Hard Path Is Easier (Classic Podcast) - The Official BNI Podcast
224,yes,10,2,10,0,38,1,Episode 224: The Value of BNI Connect | Episode 224: The Value of BNI Connect - The Official BNI Podcast
225,yes,10,3,10,0,41,1,Episode 225: Five Tips for Using LinkedIn | Episode 225: Five Tips for Using LinkedIn - The Official BNI Podcast
226,yes,10,3,10,0,36,1,Episode 226: Networking Vampires | Episode 226: Networking Vampires - The Official BNI Podcast
227,yes,10,3,10,0,59,1,Episode 227: What Are the First Words Out of Your Mouth? (Classic Podcast) | Episode 227: What Are the First Words Out of Your Mouth? (Classic Podcast) - The Official BNI Podcast
228,yes,10,2,10,0,35,1,Episode 228: The Myth of Overnight Success | Episode 228: The Myth of Overnight Success - The Official BNI Podcast
229,yes,10,3,10,0,30,1,Episode 229: Branding Recognition Ideas | Episode 229: Branding Recognition Ideas - The Official BNI Podcast
230,yes,10,3,10,0,38,1,Episode 230: The Value of Exit Interviews | Episode 230: The Value of Exit Interviews - The Official BNI Podcast
231,yes,10,3,10,0,46,1,Episode 231: Exceptions Don’t Make You Exceptional | Episode 231: Exceptions Don’t Make You Exceptional - The Official BNI Podcast
232,yes,10,3,10,0,27,1,Episode 232: The Rest of the Story (Classic Podcast) | Episode 232: The Rest of the Story (Classic Podcast) - The Official BNI Podcast
233,yes,15,3,15,0,35,1,Episode 233: Don’t Wait for that Class Reunion | Episode 233: Don’t Wait for that Class Reunion - The Official BNI Podcast
234,yes,15,3,15,0,1,1,Episode 234: Transactional vs. Relational
235,yes,15,3,15,0,35,1,"Episode 235: Working Smarter, Not Harder | Episode 235: Working Smarter, Not Harder - The Official BNI Podcast"
236,yes,15,2,15,0,1,1,Episode 236: Behaviors & Credibility
237,yes,10,3,10,0,45,2,Episode 237: Boost Your Referrals with Power Teams | Episode 237: Boost Your Referrals with Power Teams - The Official BNI Podcast | New Year Break: See You in January
238,yes,10,3,10,0,32,1,Episode 238: Business Networking and Sex | Episode 238: Business Networking and Sex - The Official BNI Podcast
239,yes,10,3,10,0,1,1,Episode 239: Bigger Is Better
240,yes,10,2,10,0,1,1,Episode 240: International Networking Week 2012
241,yes,10,3,10,0,1,1,Episode 241: Online Networks Lag Behind
242,yes,10,3,10,0,1,1,Episode 242: The Golden Rule of Networking
243,yes,10,3,10,0,1,1,Episode 243: You Achieve What You Measure
244,yes,10,3,10,0,1,1,Episode 244: Do Unique Professions Work in BNI? (Classic Podcast)
245,yes,10,2,10,0,1,1,Episode 245: How to Keep Meetings Fresh
246,yes,10,3,10,0,1,1,Episode 246: Requests for Referrals from Strangers
247,yes,10,3,10,0,1,1,Episode 247: Making Your Mark
248,yes,10,3,10,0,1,1,Episode 248: Networking Faux Pas (Classic Podcast)
249,yes,10,2,10,0,1,1,Episode 249: The Four Pillars of a Successful BNI Group
250,yes,10,3,10,0,1,1,Episode 250: When Is Two Not Better Than One?
251,yes,10,3,10,0,1,1,Episode 251: Unsolicited Advice Is Rarely Appreciated
252,yes,10,3,10,0,1,1,Episode 252: Storytelling in Business? Absolutely. (Classic Podcast)
253,yes,10,2,10,0,1,1,Episode 253: Peach Wine and Networking
254,yes,5,2,5,0,1,1,Episode 254: BNIBranding.com
255,yes,15,4,15,0,1,1,Episode 255: Referrals and New Contacts
256,yes,15,4,15,0,1,1,Episode 256: The 10 Commandments of Business Networking (Classic Podcast)
257,yes,15,4,15,0,1,1,Episode 257: Making the Most of Your Membership
258,yes,15,3,15,0,1,1,Episode 258: Ideas to Better Utilize the BNI Podcast
259,yes,15,3,15,0,1,1,Episode 259: Why Make All the Mistakes?
260,yes,10,3,10,0,1,1,Episode 260: Relationships Are Irrelevant. Really? (Classic Podcast)
261,yes,10,3,10,0,1,1,Episode 261: The Art of Being There
262,yes,10,2,10,0,1,1,Episode 262: Headed for Asia? Pack These Tips
263,yes,10,3,10,0,1,1,Episode 263: Networking Lessons from Nature (Classic Podcast)
264,yes,10,3,10,0,1,1,Episode 264: Who Has Inspired You?
265,yes,10,3,10,0,1,1,Episode 265: Multiplying Profits
266,yes,10,2,10,0,1,1,Episode 266: Five Pointers for Giving Good Referrals
267,yes,10,3,10,0,1,1,Episode 267: Five Networking Personalities
268,yes,10,3,10,0,1,1,Episode 268: What’s in It for Me? (Classic Podcast)
269,yes,10,3,10,0,1,1,Episode 269: You Might Be in BNI If…
270,yes,10,3,10,0,1,1,Episode 270: Congruent in Words and Actions
271,yes,10,2,10,0,1,1,Episode 271: Welcoming Visitors to BNI (Classic Podcast)
272,yes,10,3,10,0,48,1,Episode 272: Power Teams and Contact Spheres
273,yes,10,3,10,0,1,1,Episode 273: Not a Born Networker? Not a Problem.
274,yes,10,3,10,0,1,1,Episode 274: Did I Miss the Memo? (Classic Podcast)
275,yes,10,2,10,0,1,1,Episode 275: Expanding Your Global Footprint
276,yes,10,3,10,0,1,1,Episode 276: Why BNI?
277,yes,10,3,10,0,1,1,Episode 277: Boost Your ROI with BNI Connect
278,yes,10,3,10,0,1,1,Episode 278: Inviting Visitors
279,yes,10,3,10,0,1,1,Episode 279: You’re the Average of the 5 People You Hang Out With Most (Classic Podcast)
280,yes,10,2,10,0,1,1,Episode 280: We Versus Me
281,yes,10,3,10,0,1,1,Episode 281: What to Do with a Bad Referral
282,yes,10,3,10,0,1,1,Episode 282: 8 Tips for a Successful Mixer
283,yes,10,3,10,0,1,1,Episode 283: Using BNI in a Cross-Country Move (Classic Podcast)
284,yes,15,3,15,0,1,1,Episode 284: Passing Referrals Online
285,yes,15,3,15,0,1,1,Episode 285: BNI’s Code of Ethics
286,yes,15,3,15,0,1,1,Episode 286: Finder’s Fees in BNI
287,yes,15,2,15,0,1,1,Episode 287: You Never Know Who They Know (Classic Podcast)
288,yes,10,3,10,0,1,1,Episode 288: BNI Spam
289,yes,10,3,10,0,1,1,Episode 289: Thank You for Closed Business
290,yes,10,3,10,0,1,1,Episode 290: The Number 1 Trait of a Master Networker (Classic Podcast)
291,yes,10,2,10,0,1,1,Episode 291: The Value of Evaluating
292,yes,10,3,10,0,1,1,Episode 292: Ask for Written Testimonials (Classic Podcast)
293,yes,10,3,10,0,1,1,Episode 293: The Secrets to Real Influence
294,yes,10,3,10,0,1,1,Episode 294: Attract and Retain Members
295,yes,10,2,10,0,1,1,"Episode 295: Lead from Among, Not from Above"
296,yes,10,3,10,0,1,1,Episode 296: Fear of Rejection (Classic Podcast)
297,yes,10,3,10,0,1,1,Episode 297: The Value of Your BNI Membership
298,yes,10,3,10,0,1,1,Episode 298: Following Up on Referrals
299,yes,10,2,10,0,1,1,Episode 299: Connecting with a Top Executive
300,yes,10,3,10,0,34,1,Episode 300: Visitors' Days - The Official BNI Podcast | Episode 300: Visitors’ Days
301,yes,10,3,10,0,1,1,Episode 301: Capture Your Success Stories (Classic Podcast)
302,yes,10,3,10,0,1,1,Episode 302: One-to-Ones and Van Gogh
303,yes,10,2,10,0,1,1,Episode 303: A Good Referral Is in the Eye of the Beholder
304,yes,10,3,10,0,39,1,Episode 304: Building Referral Relationships
305,yes,10,3,10,0,1,1,"Episode 305: Networking Is Simple, but NOT Easy (Classic Podcast)"
306,yes,10,3,10,0,1,1,Episode 306: Do You Trust Advertising?
307,yes,10,3,10,0,1,1,Episode 307: Culture Eats Strategy for Breakfast
308,yes,10,2,10,0,1,1,Episode 308: 3 + 1 = Member Success
309,yes,10,3,10,0,1,1,Episode 309: BNI Success Roadmap
310,yes,10,3,10,0,1,1,Episode 310: Ask Your Own Questions (Classic Podcast)
311,yes,10,3,10,0,1,1,Episode 311: Why People Resist Networking
312,yes,10,2,10,0,1,1,Episode 312: The Secret to Success
313,yes,10,3,10,0,45,1,"Episode 313: Givers Gain, Chapter 10: BNI Traditions, Part 1 (Classic Podcast)"
314,yes,10,3,10,0,44,1,"Episode 314: Givers Gain, Chapter 10: BNI Traditions, Part 2 (Classic Podcast)"
315,yes,10,3,10,0,1,1,"Episode 315: Don’t Promise, Just Deliver"
316,yes,10,3,10,0,1,1,"Episode 316: 150,000 and Growing"
317,yes,10,2,10,0,1,1,"Episode 317: I Want to Refer You, But…"
318,yes,10,3,10,0,1,1,Episode 318: 50-70 Members at a BNI Meeting (Classic Podcast)
319,yes,10,3,10,0,1,1,Episode 319: What Is Success?
320,yes,10,3,10,0,1,1,Episode 320: Why a Membership Committee?
321,yes,10,2,10,0,1,1,Episode 321: Assessing the Value of Your Membership
322,yes,10,3,10,0,1,1,Episode 322: Branding & Networking
323,yes,10,3,10,0,1,1,Episode 323: What Makes a Good BNI Testimonial? (Classic Podcast)
324,yes,10,3,10,0,44,1,Episode 324: Get Connected-Stay Connected - The Official BNI Podcast | Episode 324: Get Connected–Stay Connected
325,yes,10,2,10,0,1,1,Episode 325: Spray and Pray
326,yes,10,3,10,0,1,1,"Episode 326: Build Your Visibility (Get Connected, Stay Connected)"
327,yes,10,3,10,0,1,1,Episode 327: Your Business 101 (Classic Podcast)
328,yes,10,3,10,0,1,1,Episode 328: Let Me Introduce You to “Bob”
329,yes,10,3,10,0,1,1,Episode 329: Did Woody Allen Get it Right?
330,yes,10,2,10,0,1,1,"Episode 330: Givers Gain is a Standard, Not a Sword"
331,yes,10,3,10,0,46,1,"Episode 331: Engage in Networking Education (Get Connected–Stay Connected, Part 2)"
332,yes,10,3,10,0,1,1,Episode 332: Expanding Your Sphere of Influence (Classic Podcast)
333,yes,10,3,10,0,1,1,Episode 333: How Big Is Too Big? (Part 1)
334,yes,15,3,15,0,1,1,Episode 334: We’re at 55+. Now What?
335,yes,15,3,15,0,45,1,Episode 335: Get To Know a Referral Source (Get Connected-Stay Connected Part 3) - The Official BNI Podcast | Episode 335: Get To Know a Referral Source (Get Connected–Stay Connected Part 3)
336,yes,15,3,15,0,50,1,Episode 336: The Misner Plan | Episode 336: The Misner Plan - The Official BNI Podcast
337,yes,15,2,15,0,37,1,Episode 337: Three Essential Questions (Classic Podcast) | Episode 337: Three Essential Questions (Classic Podcast) - The Official BNI Podcast
338,yes,10,3,10,0,2,2,Episode 338: Pass a Referral Online (Get Connected–Stay Connected Part 4) | Happy New Year! (Podcast Returns January 8th)
339,yes,10,3,10,0,1,1,Episode 339: Networking at Non-Networking Events
340,yes,10,3,10,0,30,1,Episode 340: 25 Years of BNI (Classic Podcast)
341,yes,10,2,10,0,1,1,Episode 341: International Networking Week 2014
342,yes,10,3,10,0,1,1,Episode 342: Thank a Referral Source (Get Connected–Stay Connected Part 5)
343,yes,10,3,10,0,1,1,Episode 343: Vince Lombardi Got It Right
344,yes,10,3,10,0,33,1,Episode 344: Ask the Right Questions (Classic Podcast)
345,yes,10,2,10,0,1,1,Episode 345: When Should You Ask for a Favor?
346,yes,10,3,10,0,1,1,"Episode 346: Check Your Progress (Get Connected–Stay Connected, Part 6)"
347,yes,10,3,10,0,1,1,Episode 347: Hyperactive Visibility: Good or Bad?
348,yes,10,3,10,0,1,1,Episode 348: Expanding Your Overall Sphere of Influence (Classic Podcast)
349,yes,10,2,10,0,1,1,Episode 349: BNI Business Index 2013
350,yes,10,3,10,0,1,1,"Episode 350: Invite a Visitor (Get Connected–Stay Connected, Part 7)"
351,yes,10,3,10,0,1,1,Episode 351: Dog Sled Leadership
352,yes,10,3,10,0,1,1,Episode 352: “EGBOK” (Classic Podcast)
353,yes,10,3,10,0,1,1,Episode 353: Give One Reason I Should Do Business with You
354,yes,10,2,10,0,1,1,Episode 354: Four Things to Know about Your Business
355,yes,10,3,10,0,1,1,"Episode 355: Promote a Fellow Member (Get Connected–Stay Connected, Part 8)"
356,yes,10,3,10,0,1,1,Episode 356: 5 Tips for Using LinkedIn (Classic Podcast)
357,yes,10,3,10,0,1,1,Episode 357: The Secret to Great Leadership Teams
358,yes,10,2,10,0,1,1,Episode 358: Who’s in Your Room?
359,yes,10,3,10,0,1,1,"Episode 359: Build Your Network (Get Connected–Stay Connected, Part 9)"
360,yes,10,3,10,0,1,1,Episode 360: Offline & Online Networking (Classic Podcast)
361,yes,10,3,10,0,1,1,Episode 361: Motivate Me
362,yes,10,2,10,0,1,1,Episode 362: Visibility through Volunteering
363,yes,10,3,10,0,1,1,"Episode 363: Join a Group (Get Connected–Stay Connected, Part 10)"
364,yes,10,3,10,0,1,1,Episode 364: May I Take Your Photo?
365,yes,10,3,10,0,1,1,Episode 365: “I Absolutely Refuse to Participate in a Recession” (Classic Podcast)
366,yes,10,3,10,0,1,1,Episode 366: Chambers and BNI
367,yes,10,2,10,0,1,1,Episode 367: Doing Your Featured Presentation
368,yes,10,3,10,0,1,1,Episode 368: Create a Group (Get Connected–Stay Connected 11)
369,yes,10,3,10,0,29,1,Episode 369: The BNI Connect Vision (Classic Podcast) | Episode 369: The BNI Connect Vision (Classic Podcast) - The Official BNI Podcast
370,yes,10,3,10,0,1,1,Episode 370: Revisiting Your Business Mission
371,yes,10,2,10,0,1,1,Episode 371: Five Things I Learned from BNI
372,yes,10,3,10,0,1,1,Episode 372: Tell a Story (Get Connected–Stay Connected 12)
373,yes,10,3,10,0,1,1,Episode 373: You Gotta Know Your Audience
374,yes,10,3,10,0,1,1,Episode 374: $1.1m in Closed Business–in One Week
375,yes,10,2,10,0,1,1,Episode 375: The Number 1 Trait of a Master Networker (Classic Podcast)
376,yes,10,3,10,0,1,1,Episode 376: A Global Approach to Networking
377,yes,10,3,10,0,1,1,Episode 377: Your Contribution Lives On
378,yes,10,3,10,0,1,1,Episode 378: Two Tips for Moving People in the Right Direction
379,yes,10,3,10,0,1,1,Episode 379: Being in Sync with Your Networking Partners (Classic Podcast)
380,yes,10,2,10,0,1,1,Episode 380: Finding Your Inner Networker
381,yes,10,3,10,0,1,1,Episode 381: What Makes Someone Referable?
382,yes,10,3,10,0,1,1,Episode 382: Is Your Network Deep or Shallow?
383,yes,10,3,10,0,1,1,Episode 383: “You Do the Math” (Classic Podcast)
384,yes,10,2,10,0,1,1,Episode 384: The 5 Most Important Hiring Traits
385,yes,15,3,15,0,1,1,Episode 385: Continuous Partial Attention
386,yes,15,3,15,0,53,1,Episode 386: There’s No Substitute for a Good Substitute
387,yes,15,2,15,0,1,1,Episode 387: Using or Abusing Your Subs
388,yes,10,3,10,0,2,2,Episode 388: 30 Years and a New Beginning | Happy New Year! (Podcast returns January 7th)
389,yes,10,3,10,0,1,1,Episode 389: Kissing Frogs
390,yes,10,3,10,0,1,1,Episode 390: When to Hand Out Your Card
391,yes,10,2,10,0,1,1,Episode 391: World’s Worst Networker (Classic Podcast)
392,yes,10,3,10,0,1,1,Episode 392: The 3 Ps of a Powerful Network
393,yes,10,3,10,0,1,1,Episode 393: The 7 Things I Learned from Starting a Business
394,yes,10,3,10,0,1,1,Episode 394: Working by Referral (Classic Podcast)
395,yes,10,2,10,0,1,1,Episode 395: Business Voices
396,yes,10,3,10,0,38,1,Episode 396: Host Leadership | Episode 396: Host Leadership - The Official BNI Podcast
397,yes,10,3,10,0,1,1,Episode 397: BNI’s Vision and Mission
398,yes,10,3,10,0,32,1,Episode 398: People Are Talking about You. Are You in the Conversation? (Classic Podcast) | Episode 398: People Are Talking about You. Are You in the Conversation? (Classic Podcast) - The Official BNI Podcast
399,yes,10,2,10,0,1,1,Episode 399: How About Those Badges?
400,yes,10,3,10,0,42,1,Episode 400: Make a Good Living While Serving a Greater Good
401,yes,10,3,10,0,29,1,Episode 401: What to Do When Things Go Wrong
402,yes,10,3,10,0,28,1,Episode 402: The Networking Disconnect (Classic Podcast)
403,yes,10,3,10,0,33,1,Episode 403: BNI in the Land of Oz | Episode 403: BNI in the Land of Oz - The Official BNI Podcast
404,yes,10,2,10,0,73,1,Episode 404: Standing in the Middle of Referrals
405,yes,10,3,10,0,29,1,Episode 405: What’s Your Excuse for Not Following Up? (Classic Podcast)
406,yes,10,3,10,0,44,1,Episode 406: The Seven Secrets to Work-Life Harmony
407,yes,15,3,15,0,40,1,Episode 407: Why Network with BNI? | Episode 407: Why Network with BNI? - The Official BNI Podcast
408,yes,10,2,10,0,46,1,Episode 408: The Future of BNI | Episode 408: The Future of BNI - The Official BNI Podcast
409,yes,10,3,10,0,53,1,Episode 409: Chapter Cycles | Episode 409: Chapter Cycles - The Official BNI Podcast
410,yes,10,3,10,0,30,1,Episode 410: Three Common Delusions About Referral Sources (Classic Podcast) | Episode 410: Three Common Delusions About Referral Sources (Classic Podcast) - The Official BNI Podcast
411,yes,10,3,10,0,1,1,Episode 411: Using Power Teams to Attract Visitors
412,yes,10,2,10,0,29,1,Episode 412: Why Use Online Assessments?
413,yes,10,3,10,0,32,1,Episode 413: You Achieve What You Measure (Classic Podcast) | Episode 413: You Achieve What You Measure (Classic Podcast) - The Official BNI Podcast
414,yes,10,3,10,0,35,1,Episode 414: Kiss Fewer Frogs
415,yes,10,3,10,0,35,1,"Episode 415: Don't Promise, Just Deliver (Classic Podcast) - The Official BNI Podcast | Episode 415: Don’t Promise, Just Deliver (Classic Podcast)"
416,yes,10,3,10,0,1,1,Episode 416: Specific Is Terrific for Referrals
417,yes,10,2,10,0,1,1,Episode 417: Good Referrals from Unexpected Sources
418,yes,10,3,10,0,1,1,Episode 418: Empty Your Purse Into Your Head (Classic Podcast)
419,yes,10,3,10,0,38,1,Episode 419: The Law of Reciprocity | Episode 419: The Law of Reciprocity in BNI
420,yes,10,3,10,0,1,1,Episode 420: V+C Does Not Equal P
421,yes,10,2,10,0,33,1,Episode 421: Can't Decide? Listen to This - The Official BNI Podcast | Episode 421: Can’t Decide? Listen to This
422,yes,10,3,10,0,39,1,Episode 422: Exceptions Don't Make You Exceptional (Classic Podcast) - The Official BNI Podcast | Episode 422: Exceptions Don’t Make You Exceptional (Classic Podcast)
423,yes,10,3,10,0,1,1,Episode 423: What Is Success?
424,yes,10,3,10,0,1,1,Episode 424: Networking Is a Contact Sport
425,yes,10,3,10,0,35,1,Episode 425: Look Up. Look Up. Look Up! | Episode 425: Look Up. Look Up. Look Up! - The Official BNI Podcast
426,yes,10,2,10,0,35,1,Episode 426: A Business Model That Doesn’t Make Sense (Classic Podcast)
427,yes,10,3,10,0,66,1,Episode 427: Ask Ivan
428,yes,10,3,10,0,39,1,Episode 428: Incentives for Referrals
429,yes,10,3,10,0,1,1,Episode 429: It Never Hurts to Ask
430,yes,10,2,10,0,34,1,Episode 430: BNI Light Just Isn’t Right (Classic Podcast)
431,yes,10,3,10,0,1,1,Episode 431: How Your Name Tag Could Be Hurting You
432,yes,10,3,10,0,1,1,Episode 432: Complaints about a Member
433,yes,10,3,10,0,72,1,Episode 433: Fear of Speaking
434,yes,10,2,10,0,46,1,Episode 434: The Secret to Balance (Classic Podcast) | Episode 434: The Secret to Balance (Classic Podcast) - The Official BNI Podcast
435,yes,15,3,15,0,36,1,Episode 435: The Go-Giver | Episode 435: The Go-Giver - The Official BNI Podcast
436,yes,15,3,15,0,50,1,Episode 436: Low Absences = More Referrals | Episode 436: Low Absences = More Referrals - The Official BNI Podcast
437,yes,15,2,15,0,38,1,"Episode 437: Self-Aware, Selfless, and Selfish"
438,yes,10,3,10,0,66,2,Episode 438: How to Connect with Members in Other Countries | Episode 438: How to Connect with Members in Other Countries - The Official BNI Podcast | Happy New Year! (Podcast Returns January 6th)
439,yes,10,3,10,0,68,1,Episode 439: How to Handle a Bad Referral | Episode 439: How to Handle a Bad Referral - The Official BNI Podcast
440,yes,10,3,10,0,71,1,Episode 440: Why the Rules? | Episode 440: Why the Rules? - The Official BNI Podcast
441,yes,10,2,10,0,40,1,Episode 441: What's Your Story? (Classic Podcast) - The Official BNI Podcast | Episode 441: What’s Your Story? (Classic Podcast)
442,yes,10,3,10,0,34,1,Episode 442: Taking Referrals to the 21st Century | Episode 442: Taking Referrals to the 21st Century - The Official BNI Podcast
443,yes,10,3,10,0,64,1,Episode 443: Time Spent Networking | Episode 443: Time Spent Networking - The Official BNI Podcast
444,yes,10,3,10,0,39,1,Episode 444: Networking Wind Sprints | Episode 444: Networking Wind Sprints - The Official BNI Podcast
445,yes,10,2,10,0,30,1,Episode 445: Grow Any Business in Any Market (Classic Podcast) | Episode 445: Grow Any Business in Any Market (Classic Podcast) - The Official BNI Podcast
446,yes,10,3,10,0,33,1,Episode 446: Why Is the PALMS Report Important? | Episode 446: Why Is the PALMS Report Important? - The Official BNI Podcast
447,yes,10,3,10,0,32,1,"Episode 447: Don't Stop Networking, Just Start Doing It Right - The Official BNI Podcast | Episode 447: Don’t Stop Networking, Just Start Doing It Right"
448,yes,10,3,10,0,35,1,Episode 448: The 24/7/30 Follow-up System | Episode 448: The 24/7/30 Follow-up System - The Official BNI Podcast
449,yes,10,3,10,0,30,1,Episode 449: Use Your Head to Get Your Foot in the Door (Classic Podcast) | Episode 449: Use Your Head to Get Your Foot in the Door (Classic Podcast) - The Official BNI Podcast
450,yes,10,2,10,0,29,1,Episode 450: How Well Do You Know Your Business?
451,yes,10,3,10,0,51,1,Episode 451: Why Do You Do What You Do? | Episode 451: Why Do You Do What You Do? - The Official BNI Podcast
452,yes,10,3,10,0,65,1,Episode 452: Inviting a Visitor Who Cannot Join
453,yes,10,3,10,0,28,1,Episode 453: Relationships Are Currency (Classic Podcast)
454,yes,10,2,10,0,30,1,Episode 454: Four Behavioral Styles to Know
455,yes,10,3,10,0,34,1,Episode 455: People Hate Networking...Not! - The Official BNI Podcast | Episode 455: People Hate Networking…Not!
456,yes,10,3,10,0,68,1,Episode 456: Why Not Mention a Second Business? | Episode 456: Why Not Mention a Second Business? - The Official BNI Podcast
457,yes,10,3,10,0,28,1,Episode 457: Get Your Act Together (Classic Podcast) | Episode 457: Get Your Act Together (Classic Podcast) - The Official BNI Podcast
458,yes,10,2,10,0,69,1,"Episode 458: Inviting People - Good, Better, Best - The Official BNI Podcast | Episode 458: Inviting People – Good, Better, Best"
459,yes,10,3,10,0,36,1,"Episode 459: Rules, Rules, Everywhere a Rule! | Episode 459: Rules, Rules, Everywhere a Rule! - The Official BNI Podcast"
460,yes,10,3,10,0,1,1,Episode 460: Public Speaking Can Help Grow Your Business
461,yes,10,3,10,0,37,1,Episode 461: The 7 Things I Learned from Starting a Business (Classic Podcast) | Episode 461: The 7 Things I Learned from Starting a Business (Classic Podcast) - The Official BNI Podcast
462,yes,10,3,10,0,31,1,Episode 462: Using Gentle Persuasion | Episode 462: Using Gentle Persuasion - The Official BNI Podcast
463,yes,10,2,10,0,34,1,Episode 463: Do Repeat Referrals Count? | Episode 463: Do Repeat Referrals Count? - The Official BNI Podcast
464,yes,10,3,10,0,28,1,Episode 464: What's the Real Secret? - The Official BNI Podcast | Episode 464: What’s the Real Secret?
465,yes,10,3,10,0,28,1,Episode 465: Business Voices (Classic Podcast) | Episode 465: Business Voices (Classic Podcast) - The Official BNI Podcast
466,yes,10,3,10,0,65,1,Episode 466: Networking with Competitors | Episode 466: Networking with Competitors - The Official BNI Podcast
467,yes,10,2,10,0,1,1,Episode 467: Is a Facebook Endorsement Really a Referral?
468,yes,10,3,10,0,64,1,Episode 468: Can You Network Too Much? | Episode 468: Can You Network Too Much? - The Official BNI Podcast
469,yes,10,3,10,0,1,1,Episode 469: 3 + 1 = Member Success (Classic Podcast)
470,yes,10,3,10,0,29,1,Episode 470: Coin-Operated Networking | Episode 470: Coin-Operated Networking - The Official BNI Podcast
471,yes,10,3,10,0,47,1,Episode 471: LCDs in Your Weekly Presentation | Episode 471: LCDs in Your Weekly Presentation - The Official BNI Podcast
472,yes,10,2,10,0,50,1,Episode 472: More 1-2-1s = More Referrals | Episode 472: More 1-2-1s = More Referrals - The Official BNI Podcast
473,yes,10,3,10,0,29,1,Episode 473: A Global Approach to Networking (Classic Podcast) | Episode 473: A Global Approach to Networking (Classic Podcast) - The Official BNI Podcast
474,yes,10,3,10,0,1,1,Episode 474: A Lesson in Leadership
475,yes,10,3,10,0,32,1,Episode 475: A Path to Business Leadership | Episode 475: A Path to Business Leadership - The Official BNI Podcast
476,yes,10,2,10,0,1,1,Episode 476: It’s Not About Who You Know
477,yes,10,3,10,0,41,1,Episode 477: Classification Cowboy (Classic Podcast) | Episode 477: Classification Cowboy (Classic Podcast) - The Official BNI Podcast
478,yes,10,3,10,0,33,1,Episode 478: Remembering Names | Episode 478: Remembering Names - The Official BNI Podcast
479,yes,10,3,10,0,33,1,Episode 479: Are the People in Your Life an Engine or an Anchor? | Episode 479: Are the People in Your Life an Engine or an Anchor? - The Official BNI Podcast
480,yes,10,2,10,0,36,1,"Episode 480: Is Your Chapter on Fire, on Hold, or in a Hole? | Episode 480: Is Your Chapter on Fire, on Hold, or in a Hole? - The Official BNI Podcast"
481,yes,10,3,10,0,1,1,Episode 481: Referrals for the Difficult-to-Refer Business (Classic Podcast)
482,yes,10,3,10,0,1,1,Episode 482: Attendance Policy Revised
483,yes,10,3,10,0,28,1,Episode 483: Communicating Using BNI Connect | Episode 483: Communicating Using BNI Connect - The Official BNI Podcast
484,yes,10,3,10,0,30,1,Episode 484: The Networking Trick to Increase Business (Classic Podcast)
485,yes,15,3,15,0,35,1,Episode 485: The Thin Line | Episode 485: The Thin Line - The Official BNI Podcast
486,yes,15,3,15,0,1,1,Episode 486: Inviting Visitors to Your Featured Presentation
487,yes,15,2,15,0,41,1,Episode 487: Creating a Life Plan | Episode 487: Creating a Life Plan - The Official BNI Podcast
488,yes,10,3,10,0,50,1,Episode 488: The Easy Path Is Harder
489,yes,10,3,10,0,34,1,Episode 489: Knock the Socks Off Your Audience | Episode 489: Knock the Socks Off Your Audience - The Official BNI Podcast
490,yes,10,3,10,0,48,1,Episode 490: Show Up. Make Money.
491,yes,10,2,10,0,31,1,Episode 491: 7 Strategies to Stay in Touch | Episode 491: 7 Strategies to Stay in Touch - The Official BNI Podcast
492,yes,10,3,10,0,29,1,Episode 492: Chambers and BNI (Classic Podcast) | Episode 492: Chambers and BNI (Classic Podcast) - The Official BNI Podcast
493,yes,10,3,10,0,32,1,Episode 493: What Makes a Great Networker? | Episode 493: What Makes a Great Networker? - The Official BNI Podcast
494,yes,10,3,10,0,1,1,Episode 494: Why Everyone Should Go to Leadership Training
